scale,val_dice,val_iou,val_loss,test_dice,test_iou,test_loss
0.20,0.8257,0.7357,0.1863,0.8161,0.7194,0.2218
0.30,0.8247,0.7350,0.1888,0.8157,0.7198,0.2250
0.40,0.8268,0.7367,0.1843,0.8197,0.7241,0.2196
0.50,0.8202,0.7287,0.1899,0.8115,0.7149,0.2287
0.60,0.8175,0.7241,0.1873,0.8044,0.7050,0.2294
0.70,0.7693,0.6633,0.2318,0.7594,0.6497,0.2693
0.80,0.5541,0.4271,0.4112,0.5677,0.4513,0.4218
0.80,0.5506,0.4239,0.4159,0.5780,0.4597,0.4176
0.90,0.5340,0.4220,0.4875,0.5626,0.4470,0.4929
0.90,0.5276,0.4081,0.4299,0.5506,0.4375,0.4466
