epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,540.0,540.0,267.0,495.0,0.0354,27.6997,,
2.0,540.0,540.0,227.0,420.0,0.0336,28.0712,,
3.0,540.0,540.0,227.0,420.0,0.0326,28.4694,,
4.0,540.0,540.0,262.0,486.0,0.0335,28.2588,0.0283,30.5058
5.0,540.0,540.0,227.0,420.0,0.0326,28.3551,,
6.0,540.0,540.0,228.0,421.0,0.0324,28.4362,,
7.0,540.0,540.0,228.0,421.0,0.0324,28.4596,,
8.0,540.0,540.0,261.0,484.0,0.0326,28.5118,0.0281,30.5225
9.0,540.0,540.0,228.0,422.0,0.0317,28.6114,,
10.0,540.0,540.0,228.0,422.0,0.0323,28.3852,,
11.0,540.0,540.0,228.0,421.0,0.0318,28.6893,,
12.0,540.0,540.0,261.0,483.0,0.0314,28.7153,0.0277,30.7328
13.0,540.0,540.0,227.0,420.0,0.0319,28.5419,,
14.0,540.0,540.0,227.0,421.0,0.0321,28.5608,,
15.0,540.0,540.0,228.0,421.0,0.0317,28.7709,,
16.0,540.0,540.0,261.0,483.0,0.0322,28.666,0.0277,30.7249
17.0,540.0,540.0,227.0,420.0,0.0314,28.8017,,
18.0,540.0,540.0,227.0,421.0,0.032,28.6037,,
19.0,540.0,540.0,228.0,422.0,0.0318,28.7112,,
20.0,540.0,540.0,261.0,483.0,0.0321,28.4055,0.0275,30.792
21.0,540.0,540.0,228.0,422.0,0.0317,28.6313,,
22.0,540.0,540.0,227.0,421.0,0.0317,28.722,,
23.0,540.0,540.0,228.0,422.0,0.0314,28.8463,,
24.0,540.0,540.0,261.0,483.0,0.031,28.817,0.0274,30.8119
25.0,540.0,540.0,228.0,422.0,0.032,28.6166,,
26.0,540.0,540.0,228.0,422.0,0.0311,28.8077,,
27.0,540.0,540.0,228.0,422.0,0.0311,28.8136,,
28.0,540.0,540.0,261.0,484.0,0.0316,28.6395,0.0273,30.8506
29.0,540.0,540.0,228.0,421.0,0.031,28.999,,
30.0,540.0,540.0,228.0,422.0,0.0314,28.7164,,
31.0,540.0,540.0,228.0,422.0,0.0316,28.7154,,
32.0,540.0,540.0,260.0,482.0,0.0309,28.961,0.0273,30.8363
33.0,540.0,540.0,228.0,422.0,0.0314,28.8191,,
34.0,540.0,540.0,228.0,422.0,0.0315,28.7365,,
35.0,540.0,540.0,228.0,422.0,0.0316,28.6696,,
36.0,540.0,540.0,260.0,482.0,0.0318,28.5759,0.0274,30.8753
37.0,540.0,540.0,228.0,423.0,0.0314,28.8231,,
38.0,540.0,540.0,227.0,421.0,0.0315,28.7239,,
39.0,540.0,540.0,228.0,423.0,0.031,28.8997,,
40.0,540.0,540.0,261.0,483.0,0.0312,28.9339,0.0273,30.9004
41.0,540.0,540.0,228.0,422.0,0.0314,28.7971,,
42.0,540.0,540.0,228.0,422.0,0.0313,28.8768,,
43.0,540.0,540.0,228.0,422.0,0.0311,28.9215,,
44.0,540.0,540.0,262.0,485.0,0.0308,28.8213,0.0272,30.916
45.0,540.0,540.0,228.0,422.0,0.0313,28.8126,,
46.0,540.0,540.0,228.0,422.0,0.0314,28.7032,,
47.0,540.0,540.0,228.0,422.0,0.0309,29.0257,,
48.0,540.0,540.0,261.0,484.0,0.031,28.9542,0.0272,30.915
49.0,540.0,540.0,228.0,421.0,0.0307,28.8842,,
50.0,540.0,540.0,228.0,423.0,0.031,28.9148,,
51.0,540.0,540.0,228.0,422.0,0.0311,28.8815,,
52.0,540.0,540.0,260.0,481.0,0.0307,28.9889,0.0273,30.8209
53.0,540.0,540.0,228.0,422.0,0.0313,28.7461,,
54.0,540.0,540.0,228.0,422.0,0.0315,28.8093,,
55.0,540.0,540.0,228.0,422.0,0.0306,29.0419,,
56.0,540.0,540.0,262.0,485.0,0.0308,28.9379,0.0271,30.8977
57.0,540.0,540.0,228.0,422.0,0.0308,28.9744,,
58.0,540.0,540.0,228.0,422.0,0.0312,28.6916,,
59.0,540.0,540.0,228.0,423.0,0.031,28.9178,,
60.0,540.0,540.0,260.0,482.0,0.031,28.8474,0.0273,30.8752
61.0,540.0,540.0,228.0,423.0,0.031,28.7834,,
62.0,540.0,540.0,228.0,422.0,0.0311,28.6734,,
63.0,540.0,540.0,228.0,422.0,0.0309,28.9068,,
64.0,540.0,540.0,262.0,485.0,0.0312,28.9158,0.027,30.9461
65.0,540.0,540.0,228.0,423.0,0.0314,28.6753,,
66.0,540.0,540.0,228.0,423.0,0.0304,29.2024,,
67.0,540.0,540.0,229.0,424.0,0.0313,28.6985,,
68.0,540.0,540.0,261.0,484.0,0.0313,28.9258,0.0271,30.9567
69.0,540.0,540.0,228.0,422.0,0.0312,28.9324,,
70.0,540.0,540.0,228.0,422.0,0.0319,28.5231,,
71.0,540.0,540.0,228.0,422.0,0.0307,29.0517,,
72.0,540.0,540.0,262.0,485.0,0.0308,28.9215,0.027,30.9818
73.0,540.0,540.0,229.0,424.0,0.0306,29.0238,,
74.0,540.0,540.0,229.0,424.0,0.0311,28.921,,
75.0,540.0,540.0,229.0,424.0,0.0301,29.1846,,
76.0,540.0,540.0,261.0,484.0,0.0311,28.819,0.027,30.8744
77.0,540.0,540.0,229.0,424.0,0.0307,28.9953,,
78.0,540.0,540.0,229.0,423.0,0.0315,28.8297,,
79.0,540.0,540.0,228.0,423.0,0.0311,28.8823,,
80.0,540.0,540.0,261.0,484.0,0.0308,28.9642,0.027,30.962
81.0,540.0,540.0,228.0,423.0,0.0311,28.8304,,
82.0,540.0,540.0,228.0,423.0,0.0308,28.7798,,
83.0,540.0,540.0,228.0,423.0,0.0308,28.8991,,
84.0,540.0,540.0,261.0,483.0,0.0313,28.8997,0.027,30.8686
85.0,540.0,540.0,229.0,423.0,0.0313,28.8696,,
86.0,540.0,540.0,229.0,424.0,0.0311,28.7567,,
87.0,540.0,540.0,232.0,431.0,0.0305,28.991,,
88.0,540.0,540.0,267.0,494.0,0.031,28.9444,0.0269,31.0509
89.0,540.0,540.0,232.0,430.0,0.0311,28.9064,,
90.0,540.0,540.0,232.0,430.0,0.0308,28.8437,,
91.0,540.0,540.0,232.0,430.0,0.031,28.8097,,
92.0,540.0,540.0,266.0,493.0,0.0309,28.8822,0.0269,31.0023
93.0,540.0,540.0,232.0,430.0,0.0306,28.9722,,
94.0,540.0,540.0,232.0,430.0,0.0301,29.1825,,
95.0,540.0,540.0,232.0,430.0,0.0303,29.1384,,
96.0,540.0,540.0,266.0,492.0,0.0313,28.7339,0.0269,31.0028
97.0,540.0,540.0,232.0,430.0,0.0306,29.1378,,
98.0,540.0,540.0,233.0,431.0,0.0308,28.9621,,
99.0,540.0,540.0,232.0,430.0,0.0307,28.9763,,
100.0,540.0,540.0,265.0,491.0,0.0308,28.9484,0.027,31.0132
101.0,540.0,540.0,233.0,431.0,0.0308,29.0826,,
102.0,540.0,540.0,232.0,430.0,0.0311,28.9012,,
103.0,540.0,540.0,232.0,430.0,0.0307,29.0112,,
104.0,540.0,540.0,266.0,493.0,0.0305,29.1476,0.0269,30.9264
105.0,540.0,540.0,232.0,430.0,0.0306,29.151,,
106.0,540.0,540.0,229.0,424.0,0.0309,28.9334,,
107.0,540.0,540.0,228.0,422.0,0.0306,29.0658,,
108.0,540.0,540.0,261.0,484.0,0.0307,28.9805,0.0268,31.0404
109.0,540.0,540.0,228.0,423.0,0.0308,28.9121,,
110.0,540.0,540.0,228.0,422.0,0.0308,28.8548,,
111.0,540.0,540.0,229.0,423.0,0.0309,28.9623,,
112.0,540.0,540.0,261.0,483.0,0.0308,28.9351,0.0269,31.0597
113.0,540.0,540.0,228.0,422.0,0.0313,28.6568,,
114.0,540.0,540.0,228.0,422.0,0.0307,28.9343,,
115.0,540.0,540.0,228.0,423.0,0.0305,29.0284,,
116.0,540.0,540.0,262.0,484.0,0.0301,29.2659,0.0269,31.0225
117.0,540.0,540.0,228.0,422.0,0.0312,28.8704,,
118.0,540.0,540.0,228.0,422.0,0.0309,28.9699,,
119.0,540.0,540.0,228.0,422.0,0.0304,29.1028,,
120.0,540.0,540.0,262.0,485.0,0.0311,28.7618,0.0268,31.0367
121.0,540.0,540.0,229.0,423.0,0.0309,28.9855,,
122.0,540.0,540.0,228.0,423.0,0.0304,29.0618,,
123.0,540.0,540.0,228.0,422.0,0.0307,29.0393,,
124.0,540.0,540.0,260.0,482.0,0.0309,28.9155,0.027,30.9908
125.0,540.0,540.0,228.0,422.0,0.0305,28.9055,,
126.0,540.0,540.0,228.0,422.0,0.031,28.939,,
127.0,540.0,540.0,228.0,422.0,0.0305,29.099,,
128.0,540.0,540.0,261.0,484.0,0.0305,28.9774,0.0267,31.0437
129.0,540.0,540.0,228.0,423.0,0.031,28.9033,,
130.0,540.0,540.0,228.0,423.0,0.0304,29.0015,,
131.0,540.0,540.0,228.0,423.0,0.0303,29.1531,,
132.0,540.0,540.0,261.0,482.0,0.0309,28.9742,0.0268,31.0227
133.0,540.0,540.0,228.0,422.0,0.0302,29.1716,,
134.0,540.0,540.0,228.0,423.0,0.0306,29.0652,,
135.0,540.0,540.0,228.0,423.0,0.0309,28.9169,,
136.0,540.0,540.0,261.0,483.0,0.0307,28.9859,0.0268,31.0131
137.0,540.0,540.0,228.0,422.0,0.031,29.0068,,
138.0,540.0,540.0,228.0,422.0,0.0305,28.9415,,
139.0,540.0,540.0,228.0,422.0,0.0315,28.7373,,
140.0,540.0,540.0,261.0,483.0,0.0305,29.1091,0.0267,31.0983
141.0,540.0,540.0,229.0,423.0,0.0303,29.0097,,
142.0,540.0,540.0,228.0,423.0,0.0311,28.8742,,
143.0,540.0,540.0,228.0,422.0,0.0309,29.0035,,
144.0,540.0,540.0,262.0,484.0,0.0304,29.0204,0.0267,31.0996
145.0,540.0,540.0,228.0,422.0,0.0304,28.9965,,
146.0,540.0,540.0,228.0,421.0,0.0307,28.9381,,
147.0,540.0,540.0,228.0,422.0,0.0306,29.0267,,
148.0,540.0,540.0,262.0,485.0,0.0307,29.1249,0.0267,31.0652
149.0,540.0,540.0,228.0,422.0,0.0305,28.8828,,
150.0,540.0,540.0,228.0,422.0,0.0312,28.8714,,
