epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1,540,540,448.02243399620056,829.6711740670381,0.0184,33.7528,0.0156,35.8458
2,540,540,403.1227424144745,746.5235970638416,0.0171,34.3132,0.0152,36.1328
3,540,540,401.9826340675354,744.4122853102507,0.0163,34.8073,0.0151,36.1799
4,540,540,402.89922857284546,746.1096825423064,0.0169,34.5355,0.0149,36.3371
5,540,540,403.9214310646057,748.0026501196402,0.0165,34.6312,0.0148,36.4389
6,540,540,400.92689657211304,742.4572158742834,0.0163,34.7715,0.0149,36.3897
7,540,540,402.2378182411194,744.8848485946655,0.0164,34.7304,0.0147,36.4952
8,540,540,403.49816703796387,747.2188278480812,0.0165,34.7849,0.0147,36.5081
9,540,540,403.4141900539398,747.0633149147034,0.0160,34.9200,0.0145,36.5310
10,540,540,400.4726903438568,741.6160932293644,0.0162,34.7661,0.0146,36.5757
11,540,540,402.94625782966614,746.196773758641,0.0160,35.0596,0.0145,36.6296
12,540,540,402.72966623306274,745.7956782093754,0.0157,35.0635,0.0144,36.6525
13,540,540,403.01845121383667,746.3304652108086,0.0160,34.9239,0.0144,36.6503
14,540,540,403.00261187553406,746.3011331028408,0.0160,34.9657,0.0144,36.6859
15,540,540,402.91308403015137,746.1353407965767,0.0159,35.0730,0.0144,36.6674
16,540,540,402.7702202796936,745.8707782957289,0.0162,35.0328,0.0144,36.6897
17,540,540,402.87596702575684,746.0666056032534,0.0158,35.1307,0.0144,36.7219
18,540,540,402.89189624786377,746.0961041627107,0.0160,34.9848,0.0143,36.7217
19,540,540,401.760244846344,744.0004534191555,0.0160,35.0435,0.0143,36.6970
20,540,540,401.18058133125305,742.9270024652834,0.0160,34.8366,0.0143,36.5447
21,540,540,400.9888746738434,742.571990136747,0.0158,35.0690,0.0144,36.7500
22,540,540,405.3537757396698,750.6551402586477,0.0158,35.1270,0.0143,36.7191
23,540,540,403.571391582489,747.3544288564611,0.0157,35.2453,0.0142,36.7943
24,540,540,407.0205993652344,753.74185067636,0.0154,35.2511,0.0142,36.7063
25,540,540,402.80913376808167,745.9428403112623,0.0160,35.0454,0.0142,36.7747
26,540,540,403.65334725379944,747.5061986181471,0.0155,35.2408,0.0142,36.7754
27,540,540,401.7118113040924,743.9107616742452,0.0153,35.2751,0.0142,36.8258
28,540,540,399.62566328048706,740.0475245934946,0.0158,35.0642,0.0142,36.7963
29,540,540,397.8269557952881,736.716584806089,0.0154,35.4456,0.0142,36.8034
30,540,540,389.42298793792725,721.1536813665319,0.0156,35.1430,0.0141,36.8465
31,540,540,388.04958987236023,718.6103516154819,0.0158,35.1413,0.0142,36.7930
32,540,540,390.1064863204956,722.4194191120289,0.0153,35.4184,0.0141,36.8408
33,540,540,387.5686237812042,717.7196736688967,0.0156,35.2391,0.0141,36.8317
34,540,540,387.7769250869751,718.1054168277317,0.0157,35.1601,0.0141,36.7846
35,540,540,386.476845741272,715.697862483837,0.0157,35.0811,0.0141,36.7681
36,540,540,385.77034759521484,714.3895325837312,0.0158,35.0352,0.0141,36.8288
37,540,540,388.0097119808197,718.5365036681847,0.0156,35.2818,0.0140,36.9096
38,540,540,387.5382254123688,717.6633803932755,0.0156,35.1831,0.0140,36.9054
39,540,540,386.05258536338806,714.9121951173853,0.0153,35.4027,0.0140,36.9199
40,540,540,385.70590806007385,714.2702001112478,0.0155,35.3676,0.0141,36.9043
41,540,540,386.02794122695923,714.8665578277023,0.0156,35.2435,0.0140,36.8824
42,540,540,387.7405414581299,718.0380397372776,0.0156,35.2930,0.0140,36.8638
43,540,540,388.0000548362732,718.5186200671726,0.0154,35.3971,0.0140,36.9122
44,540,540,388.5138692855835,719.4701283066361,0.0152,35.2988,0.0140,36.9439
45,540,540,385.81811475753784,714.4779902917368,0.0155,35.3027,0.0140,36.9013
46,540,540,385.8968152999878,714.6237320370144,0.0156,35.1961,0.0140,36.9272
47,540,540,387.44970774650574,717.4994587898254,0.0153,35.4397,0.0140,36.8871
